CARRIER_OBJ_ID,DRIVER_OBJ_ID,BLACKLISTED_STATES,CDL_LICENSE_FLAG,CERTIFICATION_DOUBLE_TRIPLES_TRAILER,CERTIFICATION_HAZMAT,CERTIFICATION_TANKER_TRUCKING,CERTIFICATION_TWIC_CARD,CHARGE_FUEL_FLAG,CREATED_AT,DELETED,DRIVER_ID,EMPTY_MILES_PAYMENT,EXTRA_DROPS,GROSS,LOADED_MILES_PAYMENT,PAYMENT_TYPE,ROUTES_NOT_PREF_ID,ROUTES_PREF_ID,TEAM_DRIVER,UPDATED_AT
"""62f1d77639077a3433d0d432""","""62fc499b8ccb7c2abca88251""",,FALSE,,,,,,2022-08-17T01:51:23.285Z,FALSE,,,,,,,[],[],,2022-08-17T01:51:23.285Z
"""62f29bb2d69bbd24d78692d3""","""62f3e13d592d6c4ddb685662""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-10T16:47:57.88Z,FALSE,5,,null,null,null,,[],[],TRUE,2022-08-16T21:11:54.261Z
"""62f29bb2d69bbd24d78692d3""","""62f3e1216d57525cb36d2f03""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-10T16:47:29.169Z,FALSE,4,,null,null,null,,[],[],FALSE,2022-08-16T21:11:01.337Z
"""62f29bb2d69bbd24d78692d3""","""62f3e0fce746d44e926efb11""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-10T16:46:52.805Z,FALSE,3,,null,null,null,,[],[],FALSE,2022-08-16T21:09:35.786Z
"""62f29bb2d69bbd24d78692d3""","""62f3e0e6292a995ccfaeec44""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-10T16:46:30.029Z,FALSE,2,,null,null,null,,[],[],FALSE,2022-08-16T21:09:51.041Z
"""62f29bb2d69bbd24d78692d3""","""62f3e0bae129ad4daf33cc2f""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-10T16:45:46.544Z,FALSE,1,,null,null,null,,[],[],TRUE,2022-08-16T21:13:24.407Z
"""62fba2b094724c02f6ed8176""","""62fbc2481b92f40e756ba0a9""",,FALSE,,,,,,2022-08-16T16:14:00.42Z,FALSE,,,,,,,[],[],,2022-08-16T16:14:00.42Z
"""62fba32ed2639402ca64ba20""","""62fbd3718c16a60a33db9d8a""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-16T17:27:13.815Z,FALSE,4,,null,null,null,,[],[],FALSE,2022-08-16T17:27:13.815Z
"""62fba32ed2639402ca64ba20""","""62fbd2e9ad96c10a535ee273""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-16T17:24:57.959Z,FALSE,3,,null,null,null,,[],[],FALSE,2022-08-16T17:24:57.959Z
"""62fba32ed2639402ca64ba20""","""62fbce8727f45a0a2597f197""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-16T17:06:15.762Z,FALSE,2,,null,null,null,,[],[],FALSE,2022-08-16T17:06:15.762Z
"""62fba32ed2639402ca64ba20""","""62fbb3bb0e598602b48a02fa""",,FALSE,,,,,,2022-08-16T15:11:55.853Z,FALSE,,,,,,,[],[],,2022-08-16T15:11:55.853Z
"""5d7b93641ef74730474a1df5""","""5d9651ca0ee0f75df47efc9f""",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2021-11-30T16:26:36.175Z,FALSE,1,,25,null,null,PAY_BY_PRECENTAGE,"[
  {
    ""label"": ""Central NM"",
    ""value"": 34
  },
  {
    ""label"": ""West CA"",
    ""value"": 39
  }
]",[],FALSE,2022-08-17T20:56:29.517Z
"""61e85bc03706b507dfd0df4f""","""62fcde1b28ede02aab5a8306""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-17T12:24:59.295Z,FALSE,50,,null,null,null,,[],[],FALSE,2022-08-17T12:24:59.295Z
"""61e85bc03706b507dfd0df4f""","""61f05925907a0d4ff144625c""",,FALSE,,,,,,2022-03-16T18:55:15.486Z,TRUE,,,0,0,0,"{""label"":""Pay by percentage %"",""value"":""Pay by percentage %""}",[],[],,2022-08-17T12:28:16.101Z
"""61e85bc03706b507dfd0df4f""","""61f05925907a0d4ff144625f""",,FALSE,,,,,,2022-03-16T18:55:15.486Z,TRUE,,,0,0,0,"{""label"":""Pay by percentage %"",""value"":""Pay by percentage %""}",[],[],,2022-08-17T12:28:09.178Z
"""61e85bc03706b507dfd0df4f""","""61f960f56a65ce5f7c7469a7""",,FALSE,,,,,,2022-03-16T18:55:15.486Z,TRUE,,,0,0,0,"{""label"":""Pay by percentage %"",""value"":""Pay by percentage %""}",[],[],,2022-08-17T12:27:45.333Z
"""61e85bc03706b507dfd0df4f""","""61fa85016f84262f92b7e01e""",,FALSE,,,,,,2022-03-16T18:55:15.486Z,TRUE,,,0,0,0,"{""label"":""Pay by percentage %"",""value"":""Pay by percentage %""}",[],[],,2022-08-17T12:27:55.823Z
"""61e85bc03706b507dfd0df4f""","""61fa85016f84262f92b7e01f""",,FALSE,,,,,,2022-03-16T18:55:15.486Z,TRUE,,,0,0,0,"{""label"":""Pay by percentage %"",""value"":""Pay by percentage %""}",[],[],,2022-08-17T12:28:00.964Z
"""62a25b19ff977b33d30b096f""","""62ed7fcd6aea8b24bd6581dd""",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022-08-05T20:38:37.888Z,FALSE,,,null,null,null,,[],[],FALSE,2022-08-17T15:21:57.593Z
"""62e895ad9135377e215e7817""","""62e8972dbad0b962d623a409""",,FALSE,,,,,,2022-08-02T03:17:01.677Z,FALSE,,,,,,,[],[],,2022-08-17T13:05:00.938Z
